Make,Car Name,Car Type,Car Class,Country,Collection,Add-Ons
Ferrari,1962 Ferrari 250 GT Berlinetta Lusso,Rare Classics,475 C,Italy,"Autoshow, Collection Journal",
Ferrari,1962 Ferrari 250 GTO,Classic Racers,494 C,Italy,"Autoshow, Wheelspin",
Ferrari,1967 Ferrari #24 Ferrari Spa 330 P4,Classic Racers,684 A,Italy,"Autoshow, Wheelspin",
Ferrari,1967 Ferrari 275 GTB4 Spider,Rare Classics,579 B,Italy,Autoshow DLC,Italian Passion Car Pack
Ferrari,1969 Ferrari Dino 246 GT,Rare Classics,428 C,Italy,"Autoshow, Wheelspin",
Ferrari,1970 Ferrari 512 S,Classic Racers,774 S1,Italy,"Autoshow, Wheelspin",
Ferrari,1984 Ferrari 288 GTO,Retro Supercars,643 A,Italy,"Wheelspin, Seasonal",
Ferrari,1987 Ferrari F40,Retro Supercars,678 A,Italy,"Autoshow, Collection Journal",
Ferrari,1989 Ferrari F40 Competizione,Retro Racers,948 R,Italy,"Autoshow, Wheelspin",
Ferrari,1992 Ferrari 512 TR,Retro Supercars,615 A,Italy,"Wheelspin, Seasonal",
Ferrari,1994 Ferrari F355 Berlinetta,Retro Supercars,588 B,Italy,"Wheelspin, Seasonal",
Ferrari,1995 Ferrari F50,Retro Supercars,678 A,Italy,"Autoshow, Wheelspin",
Ferrari,1996 Ferrari F50 GT,Extreme Track Toys,949 R,Italy,"Collection Journal, Seasonal",
Ferrari,2002 Ferrari Enzo Ferrari,Retro Supercars,755 S1,Italy,Autoshow,
Ferrari,2005 Ferrari FXX,Extreme Track Toys,900 S2,Italy,"Autoshow, Wheelspin",
Ferrari,2007 Ferrari 430 Scuderia,Modern Supercars,702 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2009 Ferrari 458 Italia,Modern Supercars,721 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2010 Ferrari 599XX,Extreme Track Toys,840 S2,Italy,"Autoshow, Wheelspin",
Ferrari,2012 Ferrari 599XX Evolution,Extreme Track Toys,894 S2,Italy,"Wheelspin, Seasonal",
Ferrari,2013 Ferrari 458 Speciale,Track Toys,768 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2013 Ferrari LaFerrari,Hypercars,857 S2,Italy,"Autoshow, Wheelspin",
Ferrari,2014 Ferrari FXX K,Extreme Track Toys,936 R,Italy,"Autoshow, Wheelspin",
Ferrari,2015 Ferrari 488 GTB,Modern Supercars,770 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2015 Ferrari F12tdf,Super GT,788 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2017 Ferrari 812 Superfast,Super GT,780 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2017 Ferrari J50,Modern Supercars,772 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2017 Ferrari J50 Preorder Car,Modern Supercars,800 S1,Italy,Autoshow DLC,Preorder Bonus
Ferrari,2018 Ferrari FXX-K Evo,Extreme Track Toys,957 R,Italy,"Autoshow, Wheelspin",
Ferrari,2018 Ferrari FXX-K Evo Welcome Pack,Extreme Track Toys,998 R,Italy,Autoshow DLC,Welcome Pack
Ferrari,2018 Ferrari Portofino,Super GT,714 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2019 Ferrari 488 Pista,Track Toys,803 S2,Italy,"Autoshow, Wheelspin",
Ferrari,2019 Ferrari F8 Tributo,Modern Supercars,802 S2,Italy,"Wheelspin, Seasonal",
Ferrari,2019 Ferrari Monza SP2,Super GT,773 S1,Italy,"Autoshow, Wheelspin",
Ferrari,2020 Ferrari Roma,Super GT,735 S1,Italy,Seasonal,
Ferrari,2020 Ferrari SF90 Stradale,Hypercars,851 S2,Italy,"Autoshow, Wheelspin",
Ferrari,2022 Ferrari 296 GTB,Modern Supercars,811 S2,Italy,Seasonal,
Ferrari,2025 Ferrari F80,Hypercars,916 R,Italy,Autoshow DLC,Italian Passion Car Pack
Ford,1932 Ford De Luxe Five-Window Coupe,Rods and Customs,100 D,USA,"Autoshow, Wheelspin",
Ford,1965 Ford Mustang GT Coupe,Classic Muscle,388 D,USA,Autoshow,
Ford,1966 Ford #2 GT40 Mk II,Classic Racers,666 A,USA,"Autoshow, Wheelspin",
Ford,1968 Ford Mustang GT 2+2 Fastback,Classic Muscle,394 D,USA,"Autoshow, Wheelspin",
Ford,1968 Ford Mustang GT 2+2 Fastback Forza Edition,Drift Cars,700 A,USA,"Wheelspin, Seasonal",
Ford,1969 Ford Mustang Boss 302,Classic Muscle,468 C,USA,"Autoshow, Wheelspin",
Ford,1973 Ford Capri RS3100,Classic Sports Cars,394 D,USA,"Autoshow, Wheelspin",
Ford,1973 Ford XB Falcon GT,Classic Muscle,422 C,USA,"Autoshow, Wheelspin",
Ford,1977 Ford #5 Escort RS1800 MkII,Classic Rally,544 B,USA,"Autoshow, Wheelspin",
Ford,1985 Ford RS200 Evolution,Rally Monsters,710 S1,USA,Seasonal,
Ford,1986 Ford F-150 XLT Lariat,Pickups & 4x4's,263 D,USA,"Autoshow, Wheelspin",
Ford,1986 Ford F-150 XLT Lariat Forza Edition,Drift Cars,850 S2,USA,"Wheelspin, Seasonal",
Ford,1987 Ford Sierra Cosworth RS500,Retro Super Saloons,484 C,USA,Collection Journal,
Ford,1992 Ford Escort RS Cosworth,Retro Rally,456 C,USA,"Autoshow, Wheelspin",
Ford,1993 Ford Mustang SVT Cobra R,Retro Muscle,432 C,USA,"Autoshow, Wheelspin",
Ford,1994 Ford Supervan 3,Track Toys,740 S1,USA,"Autoshow, Wheelspin",
Ford,1999 Ford Racing Puma,Retro Rally,401 C,USA,"Autoshow, Wheelspin",
Ford,2000 Ford Mustang SVT Cobra R,Retro Muscle,528 B,USA,"Autoshow, Wheelspin",
Ford,2001 Ford #4 Ford Focus RS,Rally Monsters,639 A,USA,"Autoshow, Wheelspin",
Ford,2003 Ford F-150 SVT Lightning,Pickups & 4x4's,474 C,USA,Seasonal,
Ford,2003 Ford Focus RS,Retro Hot Hatch,484 C,USA,"Autoshow, Wheelspin",
Ford,2005 Ford GT,Retro Supercars,676 A,USA,Collection Journal,
Ford,2009 Ford Focus RS,Super Hot Hatch,551 B,USA,Autoshow,
Ford,2010 Ford Crown Victoria Police Interceptor,Retro Muscle,354 D,USA,"Autoshow, Wheelspin",
Ford,2011 Ford Transit SuperSportVan,Utility Heroes,235 D,USA,"Autoshow, Wheelspin",
Ford,2013 Ford Mustang Shelby GT500,Modern Muscle,647 A,USA,"Autoshow, Wheelspin",
Ford,2014 Ford #11 Rockstar F-150 Trophy Truck,Unlimited Offroad,613 A,USA,"Autoshow, Wheelspin",
Ford,2014 Ford FPV Limited Edition Pursuit Ute,Utility Heroes,563 B,USA,"Autoshow, Wheelspin",
Ford,2014 Ford Ranger T6 Rally Raid,Offroad,530 B,USA,"Wheelspin, Seasonal",
Ford,2016 Ford Mustang Shelby GT350R,Track Toys,721 S1,USA,"Autoshow, Wheelspin",
Ford,2017 Ford #14 Rahal Letterman Lanigan Racing Fiesta,Rally Monsters,772 S1,USA,"Autoshow, Collection Journal",
Ford,2017 Ford #25 'Brocky' Ultra4 Bronco RTR,Unlimited Offroad,644 A,USA,"Autoshow, Collection Journal",
Ford,2017 Ford Focus RS,Super Hot Hatch,588 B,USA,"Autoshow, Collection Journal",
Ford,2017 Ford GT,Modern Supercars,757 S1,USA,"Autoshow, Wheelspin",
Ford,2017 Ford M-Sport Fiesta RS,Rally Monsters,707 S1,USA,"Wheelspin, Seasonal",
Ford,2018 Ford Mustang RTR Spec 5,Modern Muscle,648 A,USA,"Autoshow, Wheelspin",
Ford,2020 Ford #2069 Ford Performance Bronco R,Offroad,441 C,USA,"Autoshow, Wheelspin",
Ford,2020 Ford Mustang Shelby GT500,Modern Muscle,734 S1,USA,"Autoshow, Wheelspin",
Ford,2020 Ford Super Duty F-450 DRW PLATINUM,Pickups & 4x4's,379 D,USA,"Autoshow, Wheelspin",
Ford,2020 Ford Super Duty F-450 DRW PLATINUM Forza Edition,Pickups & 4x4's,700 A,USA,"Wheelspin, Seasonal",
Ford,2022 Ford Bronco Raptor,Pickups & 4x4's,473 C,USA,"Autoshow, Wheelspin",
Ford,2022 Ford F-150 Lightning,Pickups & 4x4's,500 C,USA,"Wheelspin, Seasonal",
Ford,2022 Ford Focus ST,Hot Hatch,594 B,USA,"Autoshow, Wheelspin",
Ford,2022 Ford Supervan 4,Extreme Track Toys,919 R,USA,"Collection Journal, Seasonal",
Ford,2023 Ford F-150 Raptor R,Pickups & 4x4's,536 B,USA,"Autoshow, Wheelspin",
Ford,2023 Ford F-150 Raptor R Welcome Pack,Pickups & 4x4's,600 B,USA,Autoshow DLC,Welcome Pack
Ford,2023 Ford Fiesta ST,Hot Hatch,500 C,USA,"Autoshow, Wheelspin",
Ford,2024 Ford Mustang Dark Horse,Modern Muscle,669 A,USA,"Autoshow, Collection Journal",
Ford,2024 Ford Mustang GT,Modern Muscle,628 A,USA,"Autoshow, Wheelspin",
Formula Drift,1989 Formula Drift #98 BMW 325i,Drift Cars,726 S1,USA,"Autoshow, Wheelspin",
Formula Drift,1995 Formula Drift #34 Toyota Supra MkIV,Drift Cars,759 S1,USA,"Autoshow, Wheelspin",
Formula Drift,1997 Formula Drift #777 Nissan 240SX,Drift Cars,748 S1,USA,"Autoshow, Collection Journal",
Formula Drift,2006 Formula Drift #43 Dodge Viper SRT-10 ACR,Drift Cars,748 S1,USA,"Wheelspin, Seasonal",
Formula Drift,2007 Formula Drift #117 599 GTB Fiorano,Drift Cars,767 S1,USA,"Autoshow, Collection Journal",
Formula Drift,2009 Formula Drift #99 Mazda RX-8,Drift Cars,737 S1,USA,"Autoshow, Collection Journal",
Formula Drift,2013 Formula Drift #777 Chevrolet Corvette,Drift Cars,760 S1,USA,"Autoshow, Wheelspin",
Formula Drift,2015 Formula Drift #13 Ford Mustang,Drift Cars,739 S1,USA,"Wheelspin, Seasonal",
Formula Drift,2016 Formula Drift #530 HSV Maloo GEN-F,Drift Cars,710 S1,USA,"Autoshow, Wheelspin",
Formula Drift,2019 Formula Drift #411 Toyota Corolla Hatchback,Drift Cars,754 S1,USA,"Autoshow, Wheelspin",
Formula Drift,2020 Formula Drift #151 Toyota GR Supra,Drift Cars,779 S1,USA,"Autoshow, Wheelspin",
Formula Drift,2020 Formula Drift #91 BMW M2,Drift Cars,748 S1,USA,"Autoshow, Wheelspin",
Formula Drift,2023 Formula Drift #64 Forsberg Racing Nissan Z,Drift Cars,783 S1,USA,"Autoshow, Wheelspin",
Funco Motorsports,2018 Funco Motorsports F9,Unlimited Buggies,752 S1,USA,"Collection Journal, Seasonal",
GMC,1970 GMC Jimmy,Pickups & 4x4's,416 C,USA,Autoshow,
GMC,1991 GMC Syclone,Pickups & 4x4's,446 C,USA,"Autoshow, Wheelspin",
GMC,1992 GMC Typhoon,Sports Utility Heroes,435 C,USA,"Autoshow, Wheelspin",
GMC,2022 GMC HUMMER EV Pickup,Pickups & 4x4's,610 A,USA,"Autoshow, Wheelspin",
Gordon Murray Automotive,2020 Gordon Murray Automotive T.50,Hypercars,871 S2,UK,"Autoshow, Collection Journal",
GR,2025 GR GT Prototype,Super GT,771 S1,Japan,"Autoshow, Wheelspin",
Hennessey,2012 Hennessey Venom GT,Hypercars,845 S2,USA,"Wheelspin, Seasonal",
Hennessey,2019 Hennessey Ford F-150 VelociRaptor 6X6,Pickups & 4x4's,520 B,USA,"Autoshow, Wheelspin",
Hennessey,2021 Hennessey Venom F5,Hypercars,870 S2,USA,"Autoshow, Wheelspin",
Holden,1977 Holden Torana A9X,Classic Muscle,413 C,Australia,"Autoshow, Wheelspin",
Honda,1970 Honda S800,Cult Cars,134 D,Japan,"Autoshow, Wheelspin",
